2710S26G3.str,DWTR_26G5.str,2023_26G5.str,2026_26G5.str,2587S26G3.str,2711aS26G3.str,eV
2465,2767,1408,1817,2514,2758,13540
2308,2717,1623,1804,2226,2516,13560
2380,2562,1503,1814,2317,2501,13580
2275,2855,1474,1649,2504,2568,13600
2301,2728,1512,1582,2226,2372,13620
2295,2520,1462,1515,2312,2213,13640
2426,2645,1402,1774,2102,2383,13660
2223,2715,1408,1784,2285,2414,13680
2537,2754,1411,1777,2157,2583,13700
2373,2575,1326,1565,2057,2162,13720
2484,2710,1695,1646,2194,2224,13740
2295,2826,1439,1646,2427,2229,13760
2373,2606,1405,1696,2523,2516,13780
2288,2668,1319,1504,2226,2301,13800
2184,2668,1361,1666,2440,2485,13820
2530,2735,1376,1568,2431,2619,13840
2399,2855,1465,1649,2440,2393,13860
2491,2767,1439,1582,2285,2485,13880
2667,2780,1439,1585,2381,2485,13900
2419,2829,1345,1673,2395,2706,13920
2929,2852,1449,1558,2386,2953,13940
2720,2546,1297,1528,2331,2701,13960
2850,2842,1446,1716,2495,2624,13980
2968,2863,1433,1622,2472,2768,14000
2896,2920,1518,1720,2472,2860,14020
2870,2707,1203,1380,2386,2645,14040
3452,2943,1364,1693,2737,2922,14060
3197,3031,1301,1572,2532,2932,14080
3001,2935,1263,1582,2527,2912,14100
2785,2712,1155,1541,2303,2865,14120
3602,2943,1342,1646,2408,3148,14140
3138,2681,1395,1515,2486,2912,14160
3092,2870,1379,1605,2468,2978,14180
2805,2660,1263,1572,2472,2876,14200
3105,2660,1319,1494,2422,2989,14220
3014,2748,1237,1471,2322,2799,14240
2968,2559,1319,1632,2450,2794,14260
2818,2530,1149,1599,2130,2388,14280
2602,2658,1313,1531,2404,2763,14300
2772,2712,1307,1511,2390,2706,14320
2615,2694,1354,1545,2386,2552,14340
2465,2601,1203,1430,2038,2285,14360
2752,2772,1297,1457,2271,2526,14380
2569,2450,1405,1373,2390,2136,14400
2341,2590,1140,1528,2303,2259,14420
2733,2684,1269,1434,2088,2162,14440
2772,2533,1291,1471,2152,2362,14460
2556,2595,1218,1437,2541,2485,14480
2615,2593,1319,1626,2390,2383,14500
2406,2556,1165,1498,2098,2398,14520
2694,2691,1291,1545,2262,2378,14540
2792,2499,1168,1447,2450,2557,14560
2739,2559,1247,1441,2372,2301,14580
2752,2489,1215,1377,2358,2573,14600
2942,2502,1152,1558,2404,2480,14620
3001,2517,1266,1437,2655,2306,14640
3145,2572,1288,1377,2390,2485,14660
3105,2432,1200,1292,2335,2393,14680
3158,2650,1332,1393,2514,2352,14700
3177,2645,1323,1501,2797,2593,14720
3171,2543,1165,1501,2632,2408,14740
2707,2429,1130,1366,2285,2254,14760
3119,2590,1278,1481,2669,2526,14780
2975,2606,1215,1377,2523,2588,14800
2831,2611,1351,1414,2459,2573,14820
2883,2372,1203,1383,2495,2259,14840
2772,2533,1209,1292,2582,2424,14860
2680,2455,1253,1303,2440,2470,14880
2837,2489,1124,1481,2527,2408,14900
2530,2370,1099,1424,2372,2290,14920
2615,2479,1140,1265,2450,2419,14940
2484,2650,1177,1427,2472,2367,14960
2360,2385,1140,1303,2280,2496,14980
2373,2268,1023,1313,2171,2311,15000
2412,2486,1054,1380,2303,2439,15020
2373,2367,1114,1350,2363,2224,15040
2426,2429,1190,1299,2143,2321,15060
2327,2307,1064,1340,2276,2259,15080
2321,2424,1089,1296,2198,2188,15100
2596,2484,1140,1407,2148,2449,15120
2295,2336,1070,1356,2148,2295,15140
2426,2331,1007,1215,2006,2090,15160
2360,2359,1064,1279,2175,2213,15180
2046,2344,1146,1390,2075,2121,15200
2157,2473,1124,1410,2125,2496,15220
2020,2193,1080,1249,2125,2146,15240
1922,2432,1013,1380,2002,2167,15260
2190,2336,1083,1228,1919,2249,15280
1987,2325,1121,1181,2107,2254,15300
2020,2325,1089,1269,2057,2018,15320
2086,2349,1064,1370,1970,2049,15340
2144,2310,998,1235,2061,2188,15360
2164,2242,1020,1289,2029,2075,15380
1837,2299,985,1077,1901,1967,15400
2164,2354,1057,1343,2025,2285,15420
1831,2424,1042,1296,2230,2414,15440
2033,2403,982,1393,2111,2198,15460
2027,2107,998,1208,2057,2321,15480
1935,2473,1162,1346,2043,2347,15500
2059,2364,1076,1161,2184,2424,15520
2138,2375,972,1299,2194,2352,15540
2099,2328,1007,1107,2290,2249,15560
2066,2359,1092,1198,2308,2403,15580
2105,2450,1032,1232,2354,2629,15600
2138,2473,1007,1252,2482,2532,15620
2007,2325,912,1158,2331,2424,15640
2184,2375,1020,1185,2290,2645,15660
2242,2543,938,1208,2472,2619,15680
2229,2401,1020,1232,2340,2681,15700
2177,2473,979,1121,2395,2588,15720
2125,2403,982,1212,2532,2814,15740
2210,2505,1057,1090,2669,2537,15760
2086,2333,1010,1255,2577,2583,15780
2321,2203,821,1151,2500,2465,15800
2236,2318,919,1222,2376,2552,15820
2216,2315,1001,1077,2326,2465,15840
2236,2346,953,1225,2207,2516,15860
1883,2159,960,1195,1965,2259,15880
1765,2229,944,1161,2244,2249,15900
2053,2367,903,1030,1970,2306,15920
2014,2219,919,1077,2034,2172,15940
1772,2152,912,1107,1965,2152,15960
1994,2331,887,1027,2107,2285,15980
1824,2144,900,1064,1897,2270,16000
1726,2139,897,1084,1887,2049,16020
1667,2071,808,1040,1828,2141,16040
1968,2102,780,1080,1833,1941,16060
1831,2105,893,1080,1883,1926,16080
1968,2201,811,1067,1878,1849,16100
1661,1970,821,1053,1823,1982,16120
1824,2087,849,1006,1828,2044,16140
1961,2180,991,1027,1709,2044,16160
2007,2019,931,1087,1796,1956,16180
1752,1936,833,979,1682,1977,16200
1791,2097,953,1161,2088,1941,16220
1772,2079,1039,1047,1791,1915,16240
1837,2071,947,1087,1970,2224,16260
1628,1991,881,1027,1846,1787,16280
1987,1949,862,1121,1983,2080,16300
2001,2274,909,1134,1691,2003,16320
1733,2206,780,1134,1828,2090,16340
1922,2115,846,1097,1769,1905,16360
1837,2123,963,1047,1828,2111,16380
1909,1949,982,1050,1782,1844,16400
1863,2162,827,1020,1746,1869,16420
1687,1900,912,949,1883,1777,16440
1935,1947,783,1000,1961,2080,16460
1778,2100,840,1043,1691,1936,16480
1517,2037,887,990,1746,1972,16500
1752,1895,827,922,1554,1910,16520
1687,1910,808,1023,1910,1982,16540
1948,1889,780,959,1718,2080,16560
1752,2004,837,1040,1791,1874,16580
1602,1934,833,919,1773,1746,16600
1667,2009,881,1084,1883,2059,16620
1850,1980,792,1047,1791,2034,16640
1654,2017,919,1087,1842,1987,16660
1595,1734,862,1006,1590,1715,16680
1739,1908,919,1077,1810,1956,16700
1667,1978,805,990,1563,1905,16720
1595,2035,903,966,1828,1823,16740
1772,1845,824,993,1549,1797,16760
1693,1830,874,973,1759,1823,16780
1536,1980,811,942,1581,1915,16800
1589,1926,862,969,1586,1910,16820
1589,1799,679,838,1723,1797,16840
1759,1796,792,956,1673,1931,16860
1648,1856,770,828,1705,1756,16880
1602,1869,786,956,1741,1736,16900
1347,1749,758,865,1586,1705,16920
1785,1936,783,1060,1673,1597,16940
1399,1812,821,804,1846,1792,16960
1549,1884,773,932,1618,1828,16980
1406,1801,792,1013,1631,1869,17000
1602,1861,726,895,1668,1654,17020
1438,1905,764,942,1645,1761,17040
1419,1863,698,889,1408,1802,17060
1504,1741,789,926,1540,1766,17080
1386,1697,878,828,1636,1720,17100
1478,1796,843,895,1723,1905,17120
1654,1837,739,882,1732,1679,17140
1360,1682,799,818,1609,1828,17160
1569,1809,767,865,1609,1725,17180
1445,1822,726,895,1572,1885,17200
1576,1822,732,902,1572,1854,17220
1484,1664,710,794,1577,1864,17240
1608,1902,698,885,1554,1710,17260
1504,1819,704,912,1627,1946,17280
1308,1716,761,784,1600,1700,17300
1347,1594,647,801,1558,1689,17320
1399,1677,764,936,1622,1751,17340
1412,1721,754,855,1654,1946,17360
1497,1801,650,855,1778,1828,17380
1419,1677,783,774,1513,1607,17400
1399,1736,723,872,1654,1818,17420
1693,1726,713,872,1650,1756,17440
1360,1731,729,814,1700,1772,17460
1347,1697,694,835,1540,1756,17480
1419,1822,679,892,1631,1792,17500
1464,1791,761,774,1421,1715,17520
1425,1760,619,885,1586,1849,17540
1255,1734,682,814,1668,1751,17560
1497,1658,660,841,1727,1895,17580
1576,1721,701,764,1778,1808,17600
1327,1609,666,771,1627,1731,17620
1432,1695,666,915,1540,1844,17640
1419,1705,679,791,1568,1674,17660
1464,1747,663,872,1476,1612,17680
1288,1713,622,757,1833,1838,17700
1360,1674,657,791,1572,1674,17720
1464,1607,609,751,1645,1828,17740
1530,1604,597,852,1659,1715,17760
1517,1669,622,754,1526,1828,17780
1294,1586,710,730,1494,1530,17800
1432,1607,751,724,1558,1679,17820
1399,1731,612,777,1568,1720,17840
1399,1648,644,717,1609,1931,17860
1523,1529,622,767,1417,1643,17880
1412,1656,593,838,1526,1751,17900
1615,1586,622,801,1622,1900,17920
1589,1653,578,740,1723,1571,17940
1393,1575,603,710,1444,1700,17960
1445,1627,612,831,1485,1664,17980
1458,1617,593,761,1627,1772,18000
1484,1630,650,710,1494,1607,18020
1242,1549,612,636,1366,1628,18040
1301,1690,609,835,1435,1731,18060
1471,1630,590,811,1499,1756,18080
1438,1562,701,777,1545,1576,18100
1262,1604,543,707,1357,1510,18120
1379,1555,657,737,1426,1546,18140
1582,1482,625,777,1476,1643,18160
1373,1407,672,724,1353,1623,18180
1314,1490,597,781,1330,1458,18200
1379,1578,666,643,1476,1772,18220
1438,1531,593,784,1430,1669,18240
1425,1643,628,730,1563,1566,18260
1183,1643,603,639,1472,1561,18280
1523,1542,641,811,1563,1664,18300
1438,1570,647,724,1545,1525,18320
1393,1516,682,677,1586,1489,18340
1353,1516,559,703,1508,1438,18360
1321,1622,584,730,1549,1607,18380
1687,1573,552,700,1481,1510,18400
1497,1700,663,781,1513,1766,18420
1360,1425,562,660,1453,1515,18440
1314,1632,616,774,1631,1705,18460
1471,1677,657,764,1526,1592,18480
1484,1518,590,848,1531,1494,18500
1478,1599,625,714,1467,1664,18520
1262,1565,653,818,1622,1561,18540
1386,1643,660,680,1540,1566,18560
1321,1648,584,771,1613,1751,18580
1183,1513,622,707,1357,1659,18600
1406,1684,701,754,1526,1710,18620
1438,1609,616,784,1750,1761,18640
1523,1695,616,825,1522,1792,18660
1373,1770,676,734,1472,1551,18680
1517,1682,726,865,1609,1731,18700
1530,1710,742,825,1590,1684,18720
1451,1744,631,858,1705,1818,18740
1255,1677,625,761,1508,1725,18760
1419,1825,612,875,1504,1761,18780
1491,1913,726,771,1618,1890,18800
1569,1853,653,848,1641,1710,18820
1321,1799,698,858,1472,1772,18840
1752,1840,638,882,1746,1844,18860
1569,1869,660,909,1682,1761,18880
1543,1775,833,875,1791,1777,18900
1543,1684,710,868,1627,1823,18920
1608,1975,736,794,1631,1715,18940
1321,1895,694,878,1577,1905,18960
1641,1856,707,811,1700,1905,18980
1491,1692,568,734,1517,1844,19000
1510,1850,833,862,1686,1823,19020
1366,1713,676,875,1650,1597,19040
1491,1780,691,835,1746,1813,19060
1478,1679,631,720,1750,1741,19080
1438,1741,688,771,1440,1844,19100
1536,1832,631,828,1499,1674,19120
1530,1601,609,737,1481,1874,19140
1360,1500,625,700,1581,1664,19160
1602,1627,546,673,1526,1808,19180
1432,1581,606,680,1517,1736,19200
1536,1599,565,717,1531,1561,19220
1249,1562,606,656,1508,1582,19240
1386,1498,625,646,1577,1607,19260
1353,1500,546,653,1536,1618,19280
1366,1422,489,626,1430,1710,19300
1157,1376,515,579,1462,1428,19320
1118,1557,480,586,1467,1659,19340
1275,1459,489,586,1394,1402,19360
1360,1318,480,586,1481,1659,19380
1216,1290,442,515,1362,1448,19400
1321,1422,477,623,1275,1659,19420
1366,1280,464,582,1302,1484,19440
1183,1295,429,552,1316,1520,19460
1105,1212,448,485,1298,1392,19480
1183,1292,470,569,1270,1407,19500
1131,1222,518,629,1289,1351,19520
1000,1311,515,613,1229,1284,19540
1209,1303,445,512,1357,1279,19560
968,1337,467,495,1206,1422,19580
1138,1204,432,518,1197,1335,19600
1066,1194,404,582,1321,1428,19620
1170,1147,451,505,1193,1304,19640
1138,1199,426,454,1252,1366,19660
1229,1103,391,464,1248,1376,19680
1183,1235,382,522,1101,1315,19700
1125,1134,350,441,1248,1371,19720
1007,1077,464,488,1143,1371,19740
1170,1106,407,481,1133,1268,19760
1151,1183,414,562,1188,1448,19780
1105,1137,379,444,1074,1289,19800
1026,1134,322,532,1298,1304,19820
1203,1145,395,491,1229,1268,19840
1288,1220,410,421,1174,1402,19860
1138,1119,366,468,1174,1268,19880
1144,1189,398,448,1147,1145,19900
974,1116,417,431,1161,1438,19920
1118,1098,410,485,1220,1335,19940
1072,1152,407,431,1174,1191,19960
1262,1147,388,414,1202,1412,19980
1177,1292,385,542,1330,1464,20000
1223,1150,414,495,1211,1433,20020
1040,1051,369,481,1197,1397,20040
1059,1176,382,461,1330,1494,20060
1144,1124,372,505,1229,1499,20080
1327,1129,442,451,1197,1417,20100
1072,1168,398,485,1220,1345,20120
1314,1116,319,458,1339,1366,20140
1118,1108,328,481,1385,1309,20160
1242,1163,410,427,1069,1345,20180
1249,1093,347,397,1275,1448,20200
1098,1119,372,451,1357,1412,20220
1085,1080,451,491,1133,1253,20240
1138,1028,335,438,1138,1335,20260
1209,1010,300,431,1015,1181,20280
1131,999,297,363,1101,1325,20300
1053,973,338,434,1069,1309,20320
1196,934,357,421,1037,1243,20340
955,893,347,401,887,1022,20360
974,856,268,363,1056,1089,20380
1013,893,303,343,1056,1130,20400
974,895,303,367,946,981,20420
909,869,309,397,964,1073,20440
915,893,303,424,973,1063,20460
889,901,341,380,969,1119,20480
974,854,328,401,868,1114,20500
863,823,300,333,978,924,20520
915,898,297,370,1010,1073,20540
909,766,363,404,983,950,20560
922,849,287,363,900,1063,20580
928,753,287,374,914,1058,20600
922,895,309,337,914,1032,20620
994,815,284,326,845,1068,20640
1007,849,243,306,827,935,20660
824,823,290,390,855,883,20680
948,779,275,380,855,924,20700
739,882,290,360,791,1104,20720
765,921,294,289,900,950,20740
654,758,290,326,781,1089,20760
843,742,347,330,736,899,20780
765,838,237,347,946,1094,20800
856,846,284,330,850,1012,20820
824,789,271,323,882,1017,20840
837,792,309,343,891,924,20860
909,849,227,316,877,924,20880
856,776,303,313,777,981,20900
719,760,237,347,795,955,20920
837,709,316,333,781,986,20940
837,727,278,350,795,1001,20960
843,841,281,387,827,945,20980
739,727,297,333,791,981,21000
758,724,256,343,900,909,21020
758,823,275,333,928,1022,21040
719,825,294,350,928,1058,21060
765,792,240,347,708,924,21080
765,838,262,387,800,960,21100
798,763,253,303,836,914,21120
680,747,268,326,859,945,21140
713,722,281,249,717,888,21160
713,690,230,296,818,827,21180
667,786,227,306,882,950,21200
778,732,253,330,768,1001,21220
824,677,284,273,699,868,21240
739,776,249,269,754,945,21260
778,732,322,337,658,775,21280
706,696,249,293,717,883,21300
673,729,208,273,727,837,21320
785,727,240,289,813,894,21340
601,722,278,289,708,811,21360
719,675,234,326,845,909,21380
824,633,205,226,695,709,21400
843,651,256,320,804,945,21420
719,615,208,323,832,816,21440
843,662,205,300,772,719,21460
595,657,189,289,896,734,21480
654,675,215,296,658,935,21500
595,548,234,232,791,796,21520
693,537,196,242,704,724,21540
628,516,208,229,635,739,21560
647,581,199,249,754,745,21580
608,644,193,276,722,688,21600
680,600,196,236,731,765,21620
634,555,218,242,708,621,21640
752,540,208,212,622,673,21660
732,511,199,229,603,734,21680
706,519,199,219,786,786,21700
601,472,142,249,512,719,21720
608,535,208,202,644,796,21740
608,576,205,229,663,786,21760
693,558,170,236,667,714,21780
516,454,126,199,594,734,21800
556,449,117,195,571,724,21820
647,509,161,172,644,632,21840
412,503,167,226,672,714,21860
621,475,164,199,512,632,21880
549,470,152,219,580,662,21900
588,535,208,188,644,657,21920
641,519,205,205,548,781,21940
569,503,152,178,576,693,21960
523,485,155,155,640,626,21980
575,444,180,212,567,570,22000
569,485,202,165,603,611,22020
608,397,170,178,512,508,22040
503,444,158,192,539,637,22060
523,400,129,178,544,642,22080
464,439,180,256,617,652,22100
588,470,186,138,457,647,22120
438,441,145,188,516,580,22140
562,444,123,185,521,606,22160
569,433,139,182,430,632,22180
536,382,170,151,489,570,22200
569,353,170,131,539,560,22220
549,402,161,178,539,549,22240
536,387,142,158,521,601,22260
490,392,114,138,430,524,22280
543,397,158,199,562,483,22300
516,423,155,172,448,467,22320
628,379,126,172,452,555,22340
471,340,136,145,516,478,22360
503,415,126,165,494,565,22380
530,371,170,162,494,601,22400
510,332,107,172,402,467,22420
464,330,126,135,448,488,22440
412,366,155,151,388,616,22460
497,324,110,158,489,544,22480
445,335,98,138,480,534,22500
490,343,126,141,407,565,22520
471,361,148,158,489,580,22540
484,353,120,114,480,390,22560
445,335,117,145,475,514,22580
458,273,152,131,457,349,22600
333,327,155,151,507,478,22620
484,350,82,172,411,596,22640
497,397,133,158,297,483,22660
399,228,139,118,311,529,22680
431,337,104,121,420,488,22700
510,283,126,151,411,493,22720
490,319,98,199,439,478,22740
386,293,110,121,484,395,22760
458,278,114,121,439,472,22780
392,270,98,131,375,514,22800
347,265,126,128,393,452,22820
360,218,114,104,356,411,22840
379,249,92,108,416,508,22860
379,241,98,121,411,385,22880
445,278,129,135,315,498,22900
333,288,117,121,297,370,22920
366,208,120,128,338,380,22940
333,234,92,114,425,349,22960
255,265,107,114,334,401,22980
333,231,69,118,274,246,23000
320,218,95,67,324,416,23020
281,197,107,111,420,447,23040
327,223,79,125,297,390,23060
307,184,88,114,251,349,23080
281,215,60,118,352,421,23100
333,189,79,125,366,349,23120
347,231,63,94,251,416,23140
320,231,92,111,283,324,23160
333,184,92,91,256,354,23180
235,208,82,111,297,385,23200
320,195,101,101,283,401,23220
340,156,54,88,270,421,23240
262,182,92,74,370,313,23260
353,166,92,111,251,344,23280
327,166,73,74,324,318,23300
314,213,79,77,256,272,23320
314,200,66,128,242,303,23340
294,166,66,91,279,211,23360
275,187,60,71,270,257,23380
327,166,57,71,274,318,23400
255,184,63,81,242,313,23420
327,140,57,88,247,334,23440
242,143,54,84,178,329,23460
222,166,54,77,233,211,23480
255,156,73,77,260,293,23500
222,153,79,108,233,288,23520
275,151,85,98,233,236,23540
229,153,57,71,233,303,23560
320,132,60,81,229,267,23580
347,151,76,104,242,288,23600
229,117,76,81,229,308,23620
222,130,60,74,183,252,23640
281,119,54,71,206,288,23660
235,153,51,67,215,277,23680
222,174,54,81,229,241,23700
209,143,57,77,224,241,23720
255,130,44,91,242,221,23740
288,135,54,88,242,252,23760
294,182,63,67,274,241,23780
248,125,85,84,219,267,23800
255,197,47,88,247,303,23820
281,125,66,81,192,231,23840
203,135,38,74,178,211,23860
183,119,47,81,169,226,23880
196,138,44,81,215,236,23900
216,130,54,64,224,190,23920
209,127,51,64,155,282,23940
209,130,54,64,160,298,23960
222,101,47,88,201,185,23980
262,138,32,64,201,288,24000
209,104,76,67,210,246,24020
235,83,57,81,192,190,24040
301,127,25,64,210,211,24060
216,164,73,88,183,241,24080
163,101,44,71,210,175,24100
177,106,32,61,155,257,24120
216,122,41,50,155,200,24140
203,83,51,71,146,226,24160
248,99,69,64,151,216,24180
196,96,60,94,137,205,24200
177,130,44,64,146,175,24220
262,91,44,34,178,175,24240
262,91,60,64,174,180,24260
203,112,54,74,146,221,24280
183,99,66,101,160,195,24300
203,106,35,71,151,128,24320
248,101,47,81,165,175,24340
170,101,79,54,169,190,24360
196,73,66,64,133,241,24380
150,96,25,98,215,195,24400
216,86,51,54,169,164,24420
203,88,28,47,133,149,24440
222,96,73,71,169,216,24460
242,117,44,74,137,200,24480
163,78,57,64,183,159,24500
131,65,47,47,183,169,24520
163,99,88,84,178,154,24540
157,70,47,47,178,190,24560
190,106,51,57,169,144,24580
222,86,47,24,210,144,24600
196,67,47,61,206,175,24620
170,117,57,74,142,175,24640
144,96,79,54,146,144,24660
163,67,28,71,137,175,24680
157,99,44,81,174,185,24700
196,106,60,77,155,205,24720
170,73,54,44,165,159,24740
118,96,47,50,169,226,24760
163,80,54,61,91,190,24780
203,104,51,47,160,169,24800
177,78,51,67,174,180,24820
209,83,38,57,155,123,24840
209,91,76,50,155,190,24860
150,93,32,37,169,185,24880
137,70,51,27,128,154,24900
190,73,35,40,142,128,24920
190,88,25,67,146,164,24940
144,93,41,57,110,190,24960
216,88,38,47,137,123,24980
157,73,41,67,151,113,25000
216,70,32,37,160,190,25020
177,70,66,57,128,159,25040
157,101,38,67,119,159,25060
183,80,47,71,133,108,25080
124,73,41,44,119,123,25100
137,60,38,54,151,159,25120
222,75,47,44,123,149,25140
137,96,38,47,123,159,25160
163,44,69,37,137,164,25180
203,80,41,30,183,123,25200
157,91,41,64,155,149,25220
131,93,32,40,110,180,25240
150,65,51,57,183,144,25260
157,78,54,50,146,128,25280
183,73,32,50,101,164,25300
157,60,19,54,119,118,25320
131,67,44,44,91,159,25340
216,73,38,20,146,169,25360
183,78,25,61,119,175,25380
163,78,63,34,91,159,25400
170,83,28,47,169,123,25420
85,73,32,57,137,128,25440
111,80,28,13,123,149,25460
150,70,38,44,96,108,25480
144,75,35,44,114,159,25500
137,57,22,54,123,118,25520
124,67,35,61,96,82,25540
105,78,35,57,91,164,25560
150,93,25,40,91,128,25580
118,70,47,34,87,123,25600
124,75,35,30,169,154,25620
118,55,38,37,91,144,25640
157,75,25,27,82,134,25660
137,78,57,27,110,108,25680
144,62,35,37,137,113,25700
98,57,44,34,119,169,25720
170,78,41,47,110,98,25740
170,47,44,47,78,113,25760
163,47,28,40,119,118,25780
157,91,19,44,78,67,25800
144,86,47,34,119,128,25820
150,57,35,40,91,108,25840
183,75,38,40,146,113,25860
203,49,16,34,105,123,25880
183,47,28,34,101,118,25900
124,70,38,37,96,144,25920
118,70,28,30,119,92,25940
105,70,19,47,91,87,25960
150,57,13,24,91,92,25980
98,60,35,44,101,113,26000
105,86,32,40,110,128,26020
124,78,19,47,64,82,26040
163,62,35,30,101,118,26060
85,67,19,30,82,134,26080
124,47,38,44,133,108,26100
144,60,35,34,73,118,26120
131,75,22,47,91,149,26140
65,60,28,40,91,92,26160
170,60,28,57,142,108,26180
98,70,28,17,64,108,26200
163,60,25,20,87,92,26220
157,73,32,44,91,149,26240
92,73,32,37,73,123,26260
124,55,13,30,101,134,26280
144,67,28,64,101,134,26300
124,55,22,27,105,77,26320
137,42,28,13,69,123,26340
105,65,22,30,87,67,26360
85,47,28,27,101,103,26380
78,67,38,44,41,113,26400
105,65,35,27,69,113,26420
72,70,25,30,105,134,26440
137,65,32,30,142,128,26460
85,73,22,44,110,103,26480
124,60,25,17,78,144,26500
98,75,25,50,50,62,26520
183,57,32,34,87,103,26540
98,55,22,44,96,67,26560
137,67,16,37,96,67,26580
78,44,19,37,91,87,26600
177,75,19,27,73,123,26620
177,39,25,37,105,103,26640
98,44,44,20,73,92,26660
118,65,22,44,69,82,26680
105,65,9,40,87,108,26700
131,49,9,40,82,103,26720
111,52,13,20,91,92,26740
92,57,13,37,73,87,26760
124,36,25,24,114,98,26780
85,42,19,44,64,67,26800
98,47,22,13,87,128,26820
92,70,25,13,87,77,26840
98,52,19,27,105,98,26860
118,47,22,37,82,118,26880
124,73,38,20,69,103,26900
98,67,9,24,59,128,26920
98,52,19,24,91,98,26940
98,47,38,27,59,77,26960
111,70,32,30,110,67,26980
118,42,9,34,87,77,27000
78,62,19,37,64,103,27020
92,70,51,17,37,72,27040
111,42,41,37,87,77,27060
85,52,13,7,82,98,27080
98,65,32,24,123,98,27100
150,62,13,17,64,77,27120
85,55,13,50,82,113,27140
65,65,25,40,101,92,27160
92,42,25,34,87,51,27180
105,57,32,61,73,56,27200
118,67,3,17,55,108,27220
118,47,6,30,82,98,27240
105,57,32,7,37,92,27260
39,55,9,10,69,67,27280
98,36,16,20,69,87,27300
105,47,25,17,73,113,27320
85,34,16,37,64,82,27340
92,49,16,20,64,77,27360
118,42,16,30,46,98,27380
52,44,6,27,69,67,27400
78,44,16,34,78,51,27420
85,52,22,34,87,67,27440
92,62,9,20,82,77,27460
85,42,19,24,78,67,27480
92,39,25,17,59,77,27500
78,36,19,20,69,82,27520
72,49,35,20,59,56,27540
98,60,13,34,50,72,27560
92,65,13,20,78,82,27580
72,52,25,24,82,72,27600
65,44,38,27,69,77,27620
46,39,25,13,87,51,27640
105,73,13,17,69,67,27660
85,36,19,30,69,72,27680
72,39,16,37,78,87,27700
78,39,6,17,105,67,27720
98,44,25,27,59,67,27740
111,49,16,17,69,26,27760
65,49,28,10,50,62,27780
65,34,16,17,64,62,27800
92,49,32,24,64,46,27820
72,31,16,20,46,72,27840
92,29,9,10,55,31,27860
33,49,16,3,78,46,27880
72,65,9,7,27,77,27900
118,42,6,20,73,87,27920
46,39,16,30,55,56,27940
137,36,3,13,55,67,27960
72,26,9,13,64,51,27980
124,62,22,7,59,67,28000
105,49,13,17,64,82,28020
72,57,13,20,50,87,28040
92,36,28,37,41,62,28060
92,39,16,13,55,103,28080
65,60,13,20,64,56,28100
59,44,9,7,59,62,28120
46,36,3,27,73,82,28140
111,36,6,10,73,41,28160
92,36,16,17,55,72,28180
52,31,13,10,64,41,28200
92,42,19,27,96,51,28220
59,39,3,17,50,46,28240
59,36,19,24,41,46,28260
105,31,9,27,78,41,28280
65,47,16,24,69,77,28300
78,42,22,13,59,56,28320
52,36,9,17,23,82,28340
65,29,16,10,18,46,28360
118,62,13,27,46,26,28380
98,23,13,27,37,72,28400
13,55,13,24,41,72,28420
52,47,16,17,73,41,28440
46,44,6,20,69,92,28460
59,31,16,20,46,31,28480
39,36,9,37,50,31,28500
65,34,6,7,50,62,28520
85,23,13,13,55,56,28540
52,52,6,20,50,46,28560
78,34,16,34,50,77,28580
78,36,9,13,46,72,28600
72,52,16,20,46,36,28620
59,31,22,17,69,62,28640
59,39,9,10,50,62,28660
65,52,9,10,50,51,28680
33,49,13,10,27,62,28700
72,44,19,10,73,77,28720
85,47,13,17,69,46,28740
65,26,6,13,27,36,28760
98,73,13,30,41,67,28780
39,60,9,7,41,51,28800
111,34,9,17,46,92,28820
33,29,16,17,59,26,28840
65,52,16,20,69,72,28860
78,65,3,3,27,46,28880
46,16,25,20,55,51,28900
39,31,13,10,46,51,28920
46,31,3,20,37,15,28940
59,42,6,13,41,56,28960
33,44,3,13,64,41,28980
65,55,13,13,32,62,29000
52,55,13,17,46,46,29020
78,44,9,17,37,31,29040
26,47,6,13,55,62,29060
39,36,3,3,50,51,29080
98,31,16,13,64,46,29100
78,52,6,13,46,56,29120
85,42,16,3,32,46,29140
33,39,16,3,46,41,29160
52,36,9,3,23,46,29180
52,34,6,13,55,46,29200
59,57,6,17,32,51,29220
52,23,13,20,32,31,29240
46,34,6,13,37,41,29260
52,39,13,13,27,26,29280
39,52,0,10,50,72,29300
26,36,9,7,50,31,29320
39,23,9,10,55,36,29340
52,44,9,3,41,26,29360
72,39,16,13,32,62,29380
65,39,3,10,18,36,29400
46,62,19,7,18,56,29420
52,39,6,17,37,67,29440
59,42,3,7,37,46,29460
85,31,6,10,32,51,29480
52,31,6,10,32,51,29500
52,47,16,10,23,26,29520
52,52,9,17,55,26,29540
39,36,9,3,55,62,29560
39,31,9,13,59,21,29580
46,31,13,20,23,56,29600
39,21,13,17,41,21,29620
20,34,3,7,5,31,29640
52,39,6,24,23,36,29660
59,29,16,3,50,46,29680
65,31,3,7,37,46,29700
20,23,6,7,41,46,29720
20,39,22,3,27,41,29740
52,31,3,17,37,36,29760
52,21,3,10,14,31,29780
46,23,3,13,46,67,29800
13,29,3,10,18,46,29820
78,34,9,10,23,36,29840
52,36,3,17,27,36,29860
46,26,6,17,64,41,29880
52,34,6,10,41,15,29900
