2710S26G3.str,DWTR_26G5.str,2023_26G5.str,2026_26G5.str,2587S26G3.str,2711aS26G3.str
4707,2289,3965,4049,3811,8093
4289,2240,3665,3995,3441,7641
3720,2152,3542,3746,2989,6532
3550,2087,3387,3457,2939,6054
3217,1972,3207,3258,2893,5197
3132,2253,3371,3810,2975,5484
3269,2045,3592,3615,2843,5782
3341,2102,3643,3574,2943,5520
3132,2105,3393,3403,2728,4981
3164,2097,3558,3500,2920,5674
3295,2144,3387,3524,2779,5094
2877,2009,2996,3298,2769,4832
3060,1931,2914,2770,2427,4601
2844,1819,2914,2703,2628,4098
2569,1767,2579,2837,2705,3708
2582,1866,2330,2514,2564,3528
2511,1850,2282,2457,2427,3333
2367,1775,2194,2410,2477,3004
2622,1594,2267,2299,2271,3235
2582,1601,2096,2134,2349,3220
2550,1549,2074,2130,2715,2809
2759,1570,2143,2369,2829,3045
2922,1791,2178,2427,2966,3507
3177,1858,2270,2231,3396,3733
3119,1848,2181,2299,3702,3533
3380,1996,2390,2376,4127,4031
4165,1972,2361,2443,4492,4401
4184,2102,2308,2484,5004,4714
4465,2196,2386,2558,5246,4940
4975,2279,2557,2878,5649,5330
4910,2411,2566,2932,6412,5515
5263,2530,2737,2760,6837,5854
5126,2206,2184,2699,6448,5767
5629,2505,2525,2935,7184,5946
5400,2235,2882,3130,6956,6357
5361,2232,2743,3083,7006,5895
5263,2043,2592,3107,6064,5258
4773,2048,2743,3120,5745,5104
4799,2107,2923,3032,5178,4842
4354,1913,2797,2979,4556,4344
3707,1806,2715,2995,4163,3708
3511,1806,2768,2871,3875,3728
3125,1791,2753,2948,3290,3456
3125,1895,2648,2844,3217,3312
2949,1684,2633,2726,3121,3312
3099,1840,2753,2716,3025,3286
3315,1915,2484,2767,3085,3615
2988,1741,2633,2763,3071,3245
2968,1853,2538,2716,3213,3435
2988,1970,2753,2824,3167,3559
3439,1869,2484,2868,3528,3471
3217,1988,2431,2719,3277,3661
3249,1728,2462,2504,3469,3548
3766,1775,2683,2481,3428,3595
3472,1967,2645,2713,3318,3502
3589,1850,2655,2831,3222,3615
3197,1882,2554,2538,3071,3502
3164,1793,2582,2666,3263,3574
3047,1993,2731,3009,3085,3646
2831,1941,2702,2817,2939,3230
2837,1856,2529,2618,2582,3271
3204,1967,2453,2767,2747,3209
2765,2110,2450,2905,2779,3127
2896,2126,2721,2841,2381,2958
2563,1939,2551,2783,2445,2783
2922,2107,2718,2787,2568,3081
2360,2302,2844,3029,2696,3102
2883,2281,2910,3036,2673,3271
2805,2118,2588,2999,2641,2973
2870,2450,2847,2847,2715,3163
2975,2512,2929,3009,2555,3086
3034,2748,2917,3120,2920,3410
3001,2346,2942,3019,2664,3317
2883,2660,3147,3150,3071,3471
3158,2699,3103,3376,3012,3343
3289,2554,3176,3376,3044,3122
3177,2463,3078,3268,2852,3163
3236,2479,3119,3150,2792,3286
3236,2577,3236,3386,3089,3276
3740,2466,3242,3123,3053,3261
3465,2299,3172,3329,2811,3040
3557,2206,3040,3228,3162,3271
3674,2172,3053,3221,3053,3230
3883,2050,3248,3383,2888,2999
3753,1879,2993,3245,2769,2722
4858,2011,3053,3379,2728,2989
4923,1879,3236,3635,2847,2989
5629,1897,3273,3379,2418,2876
6106,1819,3065,3194,2276,2978
7107,1954,2936,3342,2628,3035
7976,2040,3270,3621,2925,3096
8859,2027,3198,3362,2884,3502
9545,2110,3198,3393,2783,3019
11918,2206,3296,3531,3085,3312
13324,2222,3277,3749,3364,3856
15115,2390,3438,3749,3606,3738
16122,2227,3182,3685,3501,3810
19130,2515,3599,4012,3898,4365
22209,2468,3911,4375,4232,4663
23150,2562,3627,4069,4310,4688
24242,2528,4044,4180,4538,4889
26589,2756,4202,4655,5178,5068
26968,3094,4735,4897,5050,5679
27093,2889,4694,5365,5434,6029
24948,2902,5168,5473,5804,6018
24863,3234,5717,6556,6567,6260
23817,3522,6695,7166,6768,6973
22039,3675,7336,8014,7764,7466
18580,3981,8368,9077,7700,7908
18365,4236,9751,10969,9044,9069
17286,4599,11519,12820,9880,10583
17423,5045,13634,14923,11891,12052
17750,5211,15357,16956,13646,13947
19254,6135,18650,20319,15492,16129
22549,6556,22308,24199,17992,18009
25059,7093,26330,28140,21447,22548
28099,8092,29821,31812,23974,24849
33944,9097,37000,39863,28956,30225
38965,10184,44254,47315,33782,34780
45510,11427,52417,55557,38827,39535
51119,11913,60624,62750,42574,43772
60350,14316,71354,75819,50553,50745
69699,15611,85079,87659,56659,59136
78172,16789,97264,97695,63829,64548
81206,17179,103195,103744,66777,67599
91712,18912,115434,114968,75556,76000
95909,19621,120478,118825,78824,77997
95615,19312,119187,118283,79527,78460
91039,16704,105898,104373,74148,71928
92980,16953,106014,102636,75442,72549
85122,15100,93059,91668,70584,66274
78872,13304,78712,77040,62824,58576
65666,10794,61597,60404,51029,47988
56696,9242,49336,49967,44050,40834
47079,7511,38881,37473,36702,32957
38128,6182,27672,27649,28156,25111
27321,4944,18707,19056,20963,18384
22477,4368,15294,15435,16708,15421
17593,3828,11683,11591,13066,11888
13121,3047,9183,9309,10287,9700
10598,3062,7137,7717,7883,7775
9290,3236,6926,7233,7298,7369
8296,3179,6490,6654,6754,6573
7087,3065,6342,6815,6325,6527
6884,3122,6004,6859,6115,6229
6747,3075,6348,6987,6480,6558
6884,3366,6692,7468,6544,6706
7224,3345,7226,7805,6924,7215
7590,3462,7380,7977,7074,7318
8715,3608,8716,8808,8112,8350
9539,3846,9173,9824,9035,8730
10781,4189,10108,10821,9524,9469
10421,4077,11099,11184,9606,9808
11794,4526,12330,12779,11059,11482
13546,4801,13801,14604,12206,12355
14677,5173,15638,16031,13253,13526
15312,4936,16667,17125,13907,13849
16416,5284,18274,18528,14743,14871
17168,5489,18700,19410,15584,15719
17868,5183,19183,19231,15858,15719
16822,4788,17267,16997,14921,14584
18234,5292,18372,17915,15808,15097
16776,5009,16408,16637,15118,14753
15841,4438,14657,14910,13354,13392
13409,4264,12567,12019,12412,10892
12991,3870,10606,11285,10941,10578
10840,3618,8956,8949,9693,9556
9356,3400,6986,7418,8646,7882
7656,2881,5796,5809,6946,6614
6904,3060,5019,5234,6247,5572
5721,2824,4082,4692,5489,5181
5354,2741,4031,4184,5086,5002
4753,2707,3362,3541,4323,4560
4655,2710,3375,3450,4451,4247
4400,2795,3242,3541,4163,4000
3949,2624,2756,3211,3930,3934
4184,2715,2749,3177,3862,3831
4178,2767,2806,3224,3679,3790
4001,2707,2787,3069,3939,3672
4393,2704,2869,3426,3647,3826
3883,2502,2645,2891,3679,3656
4250,2707,2923,3386,3789,4072
4132,2774,2753,3174,3697,3867
4505,2741,2895,3436,3597,3754
4008,2702,2787,3409,3514,3466
4093,2748,2784,3241,3702,3620
4393,2979,2920,3487,3811,3677
3968,2663,2910,3413,3834,4031
4393,2907,3106,3342,3757,3687
4446,2930,2838,3490,3752,3661
4223,3068,2993,3460,4003,3846
4609,3218,3308,3652,3912,3882
4295,3146,3040,3551,3459,3548
5139,3247,3494,3823,4140,3687
5276,3483,3507,3904,4040,4252
5538,3423,3602,4170,4200,4360
5851,3693,3611,3928,4163,4185
6368,3859,3652,4352,4433,4478
6982,3802,3943,4258,4305,4288
7603,4085,3779,4288,4721,4755
7898,3940,3466,4197,5141,4457
8970,4417,3832,4231,5269,5294
9650,4617,3785,4530,5041,5125
10644,4534,4107,4385,5169,5217
10624,4708,3725,4315,5438,5623
12402,5110,3905,4564,5589,5721
12794,5038,3971,4523,5891,5792
13546,5131,3899,4439,6046,5700
13422,5095,3734,4136,5772,5556
13971,5048,3955,4325,6119,5515
13625,4936,3564,4348,5754,5685
13082,4708,3330,4086,5612,5397
11618,4230,3318,3726,4940,5032
11624,4215,3302,3817,5141,4693
10199,3766,3333,3665,4716,4616
9231,3807,3277,3467,4597,4221
8473,3190,3005,3345,4003,3882
7316,3081,3021,3154,4040,3908
6407,3003,2961,3362,3592,3399
5766,2803,2832,3016,3332,3482
5701,2850,2749,3016,3103,3138
5453,2733,2904,3157,3053,3004
5655,2844,2970,3197,2952,2927
6106,2624,2910,3096,3021,3163
5982,2523,2623,2847,2609,2722
7192,2549,2784,3170,2747,2891
7630,2551,2740,3201,2811,2778
8558,2777,2803,3167,2737,2871
9186,2541,2756,3140,2737,3148
10513,2575,2929,3228,2907,3086
12383,2772,2999,3096,2843,3338
13893,2798,2759,3228,3135,3502
15030,2588,2724,3221,2934,3502
17685,2761,2964,3487,3286,3636
18920,2710,2958,3329,3405,3759
20869,2806,3008,3406,3418,3856
20738,2715,2958,3369,3491,3836
22954,2966,3236,3571,3670,4355
23850,2953,3040,3642,3789,4293
23170,3050,3169,3453,3656,4093
21960,3034,3270,3453,3656,3769
21882,3075,3049,3413,3601,3923
19947,3099,3232,3463,3455,3759
18332,3018,2970,3207,3249,3702
15495,2956,2854,3278,2980,3405
13867,3151,3008,3467,3354,3317
12056,3190,2955,3436,3112,3333
10166,3236,2917,3443,3263,3220
8290,3081,3002,3345,2916,2973
7800,3164,3034,3234,2861,2835
7427,3317,3204,3342,3021,3019
5982,3457,3081,3282,2865,3204
5590,2992,2822,3234,2609,2860
5662,3306,2989,3376,2751,2891
5028,3335,2873,3258,2788,3030
4949,3247,2914,3194,2792,2896
4400,3031,2705,3073,2545,2598
4596,3226,2854,3255,2760,2906
4420,3060,2705,3201,2609,2886
4112,3127,2809,3147,2577,2747
3812,2998,2667,2787,2518,2901
3622,3099,2803,3059,2573,2814
3681,3148,2986,2908,2692,2804
3720,3031,2614,3012,2646,2881
3249,2795,2522,2868,2628,2439
3498,2946,2727,2938,2747,2732
3707,3229,2601,3016,2710,2891
3785,2974,2661,2844,2769,2804
3642,2868,2443,2618,2619,2860
3818,3060,2529,3006,2555,2865
3942,2912,2481,2911,2637,2799
4112,2917,2465,2898,2646,3061
4093,2785,2503,2810,2673,2891
4505,2979,2434,2962,2902,2835
4040,3016,2576,3039,2354,2845
4446,2961,2525,2969,2641,2978
4563,2707,2494,2777,2468,2706
5113,2764,2462,2888,2756,2871
5178,2870,2478,2928,2541,2994
5368,2915,2595,2894,2687,3179
5060,2676,2434,2780,2381,3055
6087,2647,2645,3117,2673,3148
6257,2811,2472,2969,2719,3061
6577,2894,2579,2938,2852,3050
6126,2634,2484,2807,2628,3009
6740,2780,2582,3093,2984,3153
6492,2857,2547,3063,2678,3292
6459,2772,2674,3056,2683,3117
5936,2575,2494,2571,2477,3179
5590,2803,2630,2948,2733,3225
5740,2795,2484,3080,2596,2978
5407,2839,2598,2894,2692,3189
4688,2582,2497,2746,2445,2989
4603,2889,2538,2948,2477,2999
4040,2855,2614,2787,2577,3117
3655,2697,2532,2928,2436,2927
3177,2754,2393,2861,2545,2927
3563,2816,2487,2767,2646,2809
3236,2829,2431,3164,2381,2871
3419,2883,2469,2763,2482,2876
2922,2642,2326,2884,2340,2737
2792,2902,2516,2969,2308,2948
3119,3003,2465,2864,2317,2871
2949,3047,2405,3026,2568,2942
2746,2730,2434,2864,2294,2809
3053,2904,2516,2703,2404,2886
3060,2777,2497,2804,2628,2871
2909,2886,2326,2767,2614,2912
2798,2759,2352,2773,2308,2691
2922,2756,2459,2723,2641,2578
2962,2777,2494,2713,2408,2675
3184,2938,2472,2814,2459,2799
3014,2907,2222,2618,2450,2645
2864,2769,2415,2652,2742,3081
3432,3073,2592,2581,2715,3071
3393,3018,2320,2783,2724,2953
3458,2811,2178,2477,2893,2788
3557,2941,2541,2417,2989,2973
4197,2992,2229,2585,3222,2835
4269,2883,2326,2676,3034,2876
4420,2694,2042,2477,3121,2901
4616,2951,2320,2639,3665,3189
5060,2938,2333,2682,3665,3302
5551,3042,2159,2733,3825,3317
5773,2946,2131,2521,3802,3518
6231,2860,2317,2689,4698,3790
7048,2985,2207,2662,4730,3795
7420,2938,2339,2682,5201,4000
7911,2826,2087,2558,4821,3913
8636,3130,2349,2723,5502,4365
8787,3047,2244,2501,5863,4545
9336,2946,2308,2656,6202,4370
9088,2907,2446,2393,5790,4401
9486,3075,2289,2743,6005,4781
9918,2956,2374,2592,6133,4560
9539,2855,2197,2528,6165,4355
