2710S26G3.str,DWTR_26G5.str,2023_26G5.str,2026_26G5.str,2587S26G3.str,2711aS26G3.str
2210,2505,1057,1090,2669,2537
2086,2333,1010,1255,2577,2583
2321,2203,821,1151,2500,2465
2236,2318,919,1222,2376,2552
2216,2315,1001,1077,2326,2465
2236,2346,953,1225,2207,2516
1883,2159,960,1195,1965,2259
1765,2229,944,1161,2244,2249
2053,2367,903,1030,1970,2306
2014,2219,919,1077,2034,2172
1772,2152,912,1107,1965,2152
1994,2331,887,1027,2107,2285
1824,2144,900,1064,1897,2270
1726,2139,897,1084,1887,2049
1667,2071,808,1040,1828,2141
1968,2102,780,1080,1833,1941
1831,2105,893,1080,1883,1926
1968,2201,811,1067,1878,1849
1661,1970,821,1053,1823,1982
1824,2087,849,1006,1828,2044
1961,2180,991,1027,1709,2044
2007,2019,931,1087,1796,1956
1752,1936,833,979,1682,1977
1791,2097,953,1161,2088,1941
1772,2079,1039,1047,1791,1915
1837,2071,947,1087,1970,2224
1628,1991,881,1027,1846,1787
1987,1949,862,1121,1983,2080
2001,2274,909,1134,1691,2003
1733,2206,780,1134,1828,2090
1922,2115,846,1097,1769,1905
1837,2123,963,1047,1828,2111
1909,1949,982,1050,1782,1844
1863,2162,827,1020,1746,1869
1687,1900,912,949,1883,1777
1935,1947,783,1000,1961,2080
1778,2100,840,1043,1691,1936
1517,2037,887,990,1746,1972
1752,1895,827,922,1554,1910
1687,1910,808,1023,1910,1982
1948,1889,780,959,1718,2080
1752,2004,837,1040,1791,1874
1602,1934,833,919,1773,1746
1667,2009,881,1084,1883,2059
1850,1980,792,1047,1791,2034
1654,2017,919,1087,1842,1987
1595,1734,862,1006,1590,1715
1739,1908,919,1077,1810,1956
1667,1978,805,990,1563,1905
1595,2035,903,966,1828,1823
1772,1845,824,993,1549,1797
1693,1830,874,973,1759,1823
1536,1980,811,942,1581,1915
1589,1926,862,969,1586,1910
1589,1799,679,838,1723,1797
1759,1796,792,956,1673,1931
1648,1856,770,828,1705,1756
1602,1869,786,956,1741,1736
1347,1749,758,865,1586,1705
1785,1936,783,1060,1673,1597
1399,1812,821,804,1846,1792
1549,1884,773,932,1618,1828
1406,1801,792,1013,1631,1869
1602,1861,726,895,1668,1654
1438,1905,764,942,1645,1761
1419,1863,698,889,1408,1802
1504,1741,789,926,1540,1766
1386,1697,878,828,1636,1720
1478,1796,843,895,1723,1905
1654,1837,739,882,1732,1679
1360,1682,799,818,1609,1828
1569,1809,767,865,1609,1725
1445,1822,726,895,1572,1885
1576,1822,732,902,1572,1854
1484,1664,710,794,1577,1864
1608,1902,698,885,1554,1710
1504,1819,704,912,1627,1946
1308,1716,761,784,1600,1700
1347,1594,647,801,1558,1689
1399,1677,764,936,1622,1751
1412,1721,754,855,1654,1946
1497,1801,650,855,1778,1828
1419,1677,783,774,1513,1607
1399,1736,723,872,1654,1818
1693,1726,713,872,1650,1756
1360,1731,729,814,1700,1772
1347,1697,694,835,1540,1756
1419,1822,679,892,1631,1792
1464,1791,761,774,1421,1715
1425,1760,619,885,1586,1849
1255,1734,682,814,1668,1751
1497,1658,660,841,1727,1895
1576,1721,701,764,1778,1808
1327,1609,666,771,1627,1731
1432,1695,666,915,1540,1844
1419,1705,679,791,1568,1674
1464,1747,663,872,1476,1612
1288,1713,622,757,1833,1838
1360,1674,657,791,1572,1674
1464,1607,609,751,1645,1828
1530,1604,597,852,1659,1715
1517,1669,622,754,1526,1828
1294,1586,710,730,1494,1530
1432,1607,751,724,1558,1679
1399,1731,612,777,1568,1720
1399,1648,644,717,1609,1931
1523,1529,622,767,1417,1643
1412,1656,593,838,1526,1751
1615,1586,622,801,1622,1900
1589,1653,578,740,1723,1571
1393,1575,603,710,1444,1700
1445,1627,612,831,1485,1664
1458,1617,593,761,1627,1772
1484,1630,650,710,1494,1607
1242,1549,612,636,1366,1628
1301,1690,609,835,1435,1731
1471,1630,590,811,1499,1756
1438,1562,701,777,1545,1576
1262,1604,543,707,1357,1510
1379,1555,657,737,1426,1546
1582,1482,625,777,1476,1643
1373,1407,672,724,1353,1623
1314,1490,597,781,1330,1458
1379,1578,666,643,1476,1772
1438,1531,593,784,1430,1669
1425,1643,628,730,1563,1566
1183,1643,603,639,1472,1561
1523,1542,641,811,1563,1664
1438,1570,647,724,1545,1525
1393,1516,682,677,1586,1489
1353,1516,559,703,1508,1438
1321,1622,584,730,1549,1607
1687,1573,552,700,1481,1510
1497,1700,663,781,1513,1766
1360,1425,562,660,1453,1515
1314,1632,616,774,1631,1705
1471,1677,657,764,1526,1592
1484,1518,590,848,1531,1494
1478,1599,625,714,1467,1664
1262,1565,653,818,1622,1561
1386,1643,660,680,1540,1566
1321,1648,584,771,1613,1751
1183,1513,622,707,1357,1659
1406,1684,701,754,1526,1710
1438,1609,616,784,1750,1761
1523,1695,616,825,1522,1792
1373,1770,676,734,1472,1551
1517,1682,726,865,1609,1731
1530,1710,742,825,1590,1684
1451,1744,631,858,1705,1818
1255,1677,625,761,1508,1725
1419,1825,612,875,1504,1761
1491,1913,726,771,1618,1890
1569,1853,653,848,1641,1710
1321,1799,698,858,1472,1772
1752,1840,638,882,1746,1844
1569,1869,660,909,1682,1761
1543,1775,833,875,1791,1777
1543,1684,710,868,1627,1823
1608,1975,736,794,1631,1715
1321,1895,694,878,1577,1905
1641,1856,707,811,1700,1905
1491,1692,568,734,1517,1844
1510,1850,833,862,1686,1823
1366,1713,676,875,1650,1597
1491,1780,691,835,1746,1813
1478,1679,631,720,1750,1741
1438,1741,688,771,1440,1844
1536,1832,631,828,1499,1674
1530,1601,609,737,1481,1874
1360,1500,625,700,1581,1664
1602,1627,546,673,1526,1808
1432,1581,606,680,1517,1736
1536,1599,565,717,1531,1561
1249,1562,606,656,1508,1582
1386,1498,625,646,1577,1607
1353,1500,546,653,1536,1618
1366,1422,489,626,1430,1710
1157,1376,515,579,1462,1428
1118,1557,480,586,1467,1659
1275,1459,489,586,1394,1402
1360,1318,480,586,1481,1659
1216,1290,442,515,1362,1448
1321,1422,477,623,1275,1659
1366,1280,464,582,1302,1484
1183,1295,429,552,1316,1520
1105,1212,448,485,1298,1392
1183,1292,470,569,1270,1407
1131,1222,518,629,1289,1351
1000,1311,515,613,1229,1284
1209,1303,445,512,1357,1279
968,1337,467,495,1206,1422
1138,1204,432,518,1197,1335
1066,1194,404,582,1321,1428
1170,1147,451,505,1193,1304
1138,1199,426,454,1252,1366
1229,1103,391,464,1248,1376
1183,1235,382,522,1101,1315
1125,1134,350,441,1248,1371
1007,1077,464,488,1143,1371
1170,1106,407,481,1133,1268
1151,1183,414,562,1188,1448
1105,1137,379,444,1074,1289
1026,1134,322,532,1298,1304
1203,1145,395,491,1229,1268
1288,1220,410,421,1174,1402
1138,1119,366,468,1174,1268
1144,1189,398,448,1147,1145
974,1116,417,431,1161,1438
1118,1098,410,485,1220,1335
1072,1152,407,431,1174,1191
1262,1147,388,414,1202,1412
1177,1292,385,542,1330,1464
1223,1150,414,495,1211,1433
1040,1051,369,481,1197,1397
1059,1176,382,461,1330,1494
1144,1124,372,505,1229,1499
1327,1129,442,451,1197,1417
1072,1168,398,485,1220,1345
1314,1116,319,458,1339,1366
1118,1108,328,481,1385,1309
1242,1163,410,427,1069,1345
1249,1093,347,397,1275,1448
1098,1119,372,451,1357,1412
1085,1080,451,491,1133,1253
1138,1028,335,438,1138,1335
1209,1010,300,431,1015,1181
1131,999,297,363,1101,1325
1053,973,338,434,1069,1309
1196,934,357,421,1037,1243
955,893,347,401,887,1022
974,856,268,363,1056,1089
1013,893,303,343,1056,1130
974,895,303,367,946,981
909,869,309,397,964,1073
915,893,303,424,973,1063
889,901,341,380,969,1119
974,854,328,401,868,1114
863,823,300,333,978,924
915,898,297,370,1010,1073
909,766,363,404,983,950
922,849,287,363,900,1063
928,753,287,374,914,1058
922,895,309,337,914,1032
994,815,284,326,845,1068
1007,849,243,306,827,935
824,823,290,390,855,883
948,779,275,380,855,924
739,882,290,360,791,1104
765,921,294,289,900,950
654,758,290,326,781,1089
843,742,347,330,736,899
765,838,237,347,946,1094
856,846,284,330,850,1012
824,789,271,323,882,1017
837,792,309,343,891,924
909,849,227,316,877,924
856,776,303,313,777,981
719,760,237,347,795,955
837,709,316,333,781,986
837,727,278,350,795,1001
843,841,281,387,827,945
739,727,297,333,791,981
758,724,256,343,900,909
758,823,275,333,928,1022
719,825,294,350,928,1058
765,792,240,347,708,924
765,838,262,387,800,960
798,763,253,303,836,914
680,747,268,326,859,945
713,722,281,249,717,888
713,690,230,296,818,827
667,786,227,306,882,950
778,732,253,330,768,1001
824,677,284,273,699,868
739,776,249,269,754,945
778,732,322,337,658,775
706,696,249,293,717,883
673,729,208,273,727,837
785,727,240,289,813,894
601,722,278,289,708,811
719,675,234,326,845,909
824,633,205,226,695,709
843,651,256,320,804,945
719,615,208,323,832,816
843,662,205,300,772,719
595,657,189,289,896,734
654,675,215,296,658,935
595,548,234,232,791,796
693,537,196,242,704,724
628,516,208,229,635,739
647,581,199,249,754,745
608,644,193,276,722,688
680,600,196,236,731,765
634,555,218,242,708,621
752,540,208,212,622,673
732,511,199,229,603,734
706,519,199,219,786,786
601,472,142,249,512,719
608,535,208,202,644,796
608,576,205,229,663,786
693,558,170,236,667,714
516,454,126,199,594,734
556,449,117,195,571,724
647,509,161,172,644,632
412,503,167,226,672,714
621,475,164,199,512,632
549,470,152,219,580,662
588,535,208,188,644,657
641,519,205,205,548,781
569,503,152,178,576,693
523,485,155,155,640,626
575,444,180,212,567,570
569,485,202,165,603,611
608,397,170,178,512,508
503,444,158,192,539,637
523,400,129,178,544,642
464,439,180,256,617,652
588,470,186,138,457,647
438,441,145,188,516,580
562,444,123,185,521,606
569,433,139,182,430,632
536,382,170,151,489,570
569,353,170,131,539,560
549,402,161,178,539,549
536,387,142,158,521,601
490,392,114,138,430,524
543,397,158,199,562,483
516,423,155,172,448,467
628,379,126,172,452,555
471,340,136,145,516,478
503,415,126,165,494,565
530,371,170,162,494,601
510,332,107,172,402,467
464,330,126,135,448,488
412,366,155,151,388,616
497,324,110,158,489,544
445,335,98,138,480,534
490,343,126,141,407,565
471,361,148,158,489,580
484,353,120,114,480,390
445,335,117,145,475,514
458,273,152,131,457,349
333,327,155,151,507,478
484,350,82,172,411,596
497,397,133,158,297,483
399,228,139,118,311,529
431,337,104,121,420,488
510,283,126,151,411,493
490,319,98,199,439,478
386,293,110,121,484,395
458,278,114,121,439,472
392,270,98,131,375,514
347,265,126,128,393,452
360,218,114,104,356,411
379,249,92,108,416,508
379,241,98,121,411,385
445,278,129,135,315,498
333,288,117,121,297,370
366,208,120,128,338,380
333,234,92,114,425,349
255,265,107,114,334,401
333,231,69,118,274,246
320,218,95,67,324,416
281,197,107,111,420,447
327,223,79,125,297,390
307,184,88,114,251,349
281,215,60,118,352,421
333,189,79,125,366,349
347,231,63,94,251,416
320,231,92,111,283,324
333,184,92,91,256,354
235,208,82,111,297,385
320,195,101,101,283,401
340,156,54,88,270,421
262,182,92,74,370,313
353,166,92,111,251,344
327,166,73,74,324,318
314,213,79,77,256,272
314,200,66,128,242,303
294,166,66,91,279,211
275,187,60,71,270,257
327,166,57,71,274,318
255,184,63,81,242,313
327,140,57,88,247,334
242,143,54,84,178,329
222,166,54,77,233,211
255,156,73,77,260,293
222,153,79,108,233,288
275,151,85,98,233,236
229,153,57,71,233,303
320,132,60,81,229,267
347,151,76,104,242,288
229,117,76,81,229,308
222,130,60,74,183,252
281,119,54,71,206,288
235,153,51,67,215,277
222,174,54,81,229,241
209,143,57,77,224,241
255,130,44,91,242,221
288,135,54,88,242,252
294,182,63,67,274,241
248,125,85,84,219,267
255,197,47,88,247,303
281,125,66,81,192,231
203,135,38,74,178,211
183,119,47,81,169,226
196,138,44,81,215,236
216,130,54,64,224,190
209,127,51,64,155,282
209,130,54,64,160,298
222,101,47,88,201,185
262,138,32,64,201,288
209,104,76,67,210,246
235,83,57,81,192,190
301,127,25,64,210,211
216,164,73,88,183,241
163,101,44,71,210,175
177,106,32,61,155,257
216,122,41,50,155,200
203,83,51,71,146,226
248,99,69,64,151,216
196,96,60,94,137,205
177,130,44,64,146,175
262,91,44,34,178,175
262,91,60,64,174,180
203,112,54,74,146,221
183,99,66,101,160,195
203,106,35,71,151,128
248,101,47,81,165,175
170,101,79,54,169,190
196,73,66,64,133,241
150,96,25,98,215,195
216,86,51,54,169,164
203,88,28,47,133,149
222,96,73,71,169,216
242,117,44,74,137,200
163,78,57,64,183,159
131,65,47,47,183,169
163,99,88,84,178,154
157,70,47,47,178,190
190,106,51,57,169,144
222,86,47,24,210,144
196,67,47,61,206,175
170,117,57,74,142,175
144,96,79,54,146,144
163,67,28,71,137,175
157,99,44,81,174,185
196,106,60,77,155,205
170,73,54,44,165,159
118,96,47,50,169,226
163,80,54,61,91,190
203,104,51,47,160,169
177,78,51,67,174,180
209,83,38,57,155,123
209,91,76,50,155,190
150,93,32,37,169,185
137,70,51,27,128,154
190,73,35,40,142,128
190,88,25,67,146,164
144,93,41,57,110,190
216,88,38,47,137,123
157,73,41,67,151,113
216,70,32,37,160,190
177,70,66,57,128,159
157,101,38,67,119,159
183,80,47,71,133,108
124,73,41,44,119,123
137,60,38,54,151,159
222,75,47,44,123,149
137,96,38,47,123,159
163,44,69,37,137,164
203,80,41,30,183,123
157,91,41,64,155,149
131,93,32,40,110,180
150,65,51,57,183,144
157,78,54,50,146,128
183,73,32,50,101,164
157,60,19,54,119,118
131,67,44,44,91,159
216,73,38,20,146,169
183,78,25,61,119,175
163,78,63,34,91,159
170,83,28,47,169,123
85,73,32,57,137,128
111,80,28,13,123,149
150,70,38,44,96,108
144,75,35,44,114,159
137,57,22,54,123,118
124,67,35,61,96,82
105,78,35,57,91,164
150,93,25,40,91,128
118,70,47,34,87,123
124,75,35,30,169,154
118,55,38,37,91,144
157,75,25,27,82,134
137,78,57,27,110,108
144,62,35,37,137,113
98,57,44,34,119,169
170,78,41,47,110,98
170,47,44,47,78,113
163,47,28,40,119,118
157,91,19,44,78,67
144,86,47,34,119,128
150,57,35,40,91,108
183,75,38,40,146,113
203,49,16,34,105,123
183,47,28,34,101,118
124,70,38,37,96,144
118,70,28,30,119,92
105,70,19,47,91,87
150,57,13,24,91,92
98,60,35,44,101,113
105,86,32,40,110,128
124,78,19,47,64,82
163,62,35,30,101,118
85,67,19,30,82,134
124,47,38,44,133,108
144,60,35,34,73,118
131,75,22,47,91,149
65,60,28,40,91,92
170,60,28,57,142,108
98,70,28,17,64,108
163,60,25,20,87,92
157,73,32,44,91,149
92,73,32,37,73,123
124,55,13,30,101,134
144,67,28,64,101,134
124,55,22,27,105,77
137,42,28,13,69,123
105,65,22,30,87,67
85,47,28,27,101,103
78,67,38,44,41,113
105,65,35,27,69,113
72,70,25,30,105,134
137,65,32,30,142,128
85,73,22,44,110,103
124,60,25,17,78,144
98,75,25,50,50,62
183,57,32,34,87,103
98,55,22,44,96,67
137,67,16,37,96,67
78,44,19,37,91,87
177,75,19,27,73,123
177,39,25,37,105,103
98,44,44,20,73,92
118,65,22,44,69,82
105,65,9,40,87,108
131,49,9,40,82,103
111,52,13,20,91,92
92,57,13,37,73,87
124,36,25,24,114,98
85,42,19,44,64,67
98,47,22,13,87,128
92,70,25,13,87,77
98,52,19,27,105,98
118,47,22,37,82,118
124,73,38,20,69,103
98,67,9,24,59,128
98,52,19,24,91,98
98,47,38,27,59,77
111,70,32,30,110,67
118,42,9,34,87,77
78,62,19,37,64,103
92,70,51,17,37,72
111,42,41,37,87,77
85,52,13,7,82,98
98,65,32,24,123,98
150,62,13,17,64,77
85,55,13,50,82,113
65,65,25,40,101,92
92,42,25,34,87,51
105,57,32,61,73,56
118,67,3,17,55,108
118,47,6,30,82,98
105,57,32,7,37,92
39,55,9,10,69,67
98,36,16,20,69,87
105,47,25,17,73,113
85,34,16,37,64,82
92,49,16,20,64,77
118,42,16,30,46,98
52,44,6,27,69,67
78,44,16,34,78,51
85,52,22,34,87,67
92,62,9,20,82,77
85,42,19,24,78,67
92,39,25,17,59,77
78,36,19,20,69,82
72,49,35,20,59,56
98,60,13,34,50,72
92,65,13,20,78,82
72,52,25,24,82,72
65,44,38,27,69,77
46,39,25,13,87,51
105,73,13,17,69,67
85,36,19,30,69,72
72,39,16,37,78,87
78,39,6,17,105,67
98,44,25,27,59,67
111,49,16,17,69,26
65,49,28,10,50,62
65,34,16,17,64,62
92,49,32,24,64,46
72,31,16,20,46,72
92,29,9,10,55,31
33,49,16,3,78,46
72,65,9,7,27,77
118,42,6,20,73,87
46,39,16,30,55,56
137,36,3,13,55,67
72,26,9,13,64,51
124,62,22,7,59,67
105,49,13,17,64,82
72,57,13,20,50,87
92,36,28,37,41,62
92,39,16,13,55,103
65,60,13,20,64,56
59,44,9,7,59,62
46,36,3,27,73,82
111,36,6,10,73,41
92,36,16,17,55,72
52,31,13,10,64,41
92,42,19,27,96,51
59,39,3,17,50,46
59,36,19,24,41,46
105,31,9,27,78,41
65,47,16,24,69,77
78,42,22,13,59,56
52,36,9,17,23,82
65,29,16,10,18,46
118,62,13,27,46,26
98,23,13,27,37,72
13,55,13,24,41,72
52,47,16,17,73,41
46,44,6,20,69,92
59,31,16,20,46,31
39,36,9,37,50,31
65,34,6,7,50,62
85,23,13,13,55,56
52,52,6,20,50,46
78,34,16,34,50,77
78,36,9,13,46,72
72,52,16,20,46,36
59,31,22,17,69,62
59,39,9,10,50,62
65,52,9,10,50,51
33,49,13,10,27,62
72,44,19,10,73,77
85,47,13,17,69,46
65,26,6,13,27,36
98,73,13,30,41,67
39,60,9,7,41,51
111,34,9,17,46,92
33,29,16,17,59,26
65,52,16,20,69,72
78,65,3,3,27,46
46,16,25,20,55,51
39,31,13,10,46,51
46,31,3,20,37,15
59,42,6,13,41,56
33,44,3,13,64,41
65,55,13,13,32,62
52,55,13,17,46,46
78,44,9,17,37,31
26,47,6,13,55,62
39,36,3,3,50,51
98,31,16,13,64,46
78,52,6,13,46,56
85,42,16,3,32,46
33,39,16,3,46,41
52,36,9,3,23,46
52,34,6,13,55,46
59,57,6,17,32,51
52,23,13,20,32,31
46,34,6,13,37,41
52,39,13,13,27,26
39,52,0,10,50,72
26,36,9,7,50,31
39,23,9,10,55,36
52,44,9,3,41,26
72,39,16,13,32,62
65,39,3,10,18,36
46,62,19,7,18,56
52,39,6,17,37,67
59,42,3,7,37,46
85,31,6,10,32,51
52,31,6,10,32,51
52,47,16,10,23,26
52,52,9,17,55,26
39,36,9,3,55,62
39,31,9,13,59,21
46,31,13,20,23,56
39,21,13,17,41,21
20,34,3,7,5,31
52,39,6,24,23,36
59,29,16,3,50,46
65,31,3,7,37,46
20,23,6,7,41,46
20,39,22,3,27,41
52,31,3,17,37,36
52,21,3,10,14,31
46,23,3,13,46,67
13,29,3,10,18,46
78,34,9,10,23,36
52,36,3,17,27,36
46,26,6,17,64,41
52,34,6,10,41,15
33,42,0,13,55,31
39,31,3,7,32,56
46,42,6,20,46,21
33,31,9,20,55,26
13,36,9,10,46,41
46,16,6,17,37,36
33,26,0,7,27,41
33,39,13,0,27,67
39,18,9,10,41,15
52,29,3,10,59,36
52,18,9,24,32,31
20,21,0,13,32,26
59,34,9,10,37,72
59,18,3,3,41,36
52,18,0,17,14,31
33,31,6,7,32,15
59,31,13,3,50,31
39,31,19,0,46,31
26,21,6,7,18,41
20,31,9,7,23,67
39,29,9,17,50,46
13,44,3,7,32,41
46,39,9,10,27,56
13,31,6,3,55,36
65,29,6,13,14,46
33,26,0,7,50,21
7,42,9,20,23,41
59,42,13,13,46,21
20,34,16,7,46,36
46,34,3,24,41,31
33,23,16,0,37,41
13,21,0,3,37,36
33,49,6,10,27,31
46,31,3,20,32,77
52,21,9,10,46,46
20,29,6,7,32,62
20,29,16,0,23,36
39,21,19,7,37,26
46,39,3,13,14,67
13,29,6,10,50,56
78,21,13,3,37,21
26,16,3,7,59,36
26,18,9,3,32,31
59,39,0,7,50,21
72,36,16,3,37,51
26,39,6,7,14,26
39,31,6,0,18,67
13,26,3,13,23,51
39,31,9,7,14,51
20,31,9,20,27,36
46,29,6,7,32,46
33,16,9,17,64,15
33,18,0,7,14,21
20,31,6,10,32,21
20,29,3,10,27,41
20,36,9,7,18,15
26,39,6,7,14,31
13,23,6,10,41,21
46,49,6,3,69,5
20,18,16,7,41,31
13,10,6,7,23,36
33,18,0,7,27,5
13,31,6,3,37,41
20,21,6,17,23,51
39,26,3,13,23,10
26,23,3,0,27,21
33,16,0,13,50,41
7,36,3,7,23,15
7,39,6,17,32,15
20,34,0,7,14,41
20,23,3,10,32,10
13,47,3,3,27,15
33,34,6,20,32,36
13,23,0,3,27,31
20,34,6,0,14,5
13,36,9,10,37,36
13,52,6,3,27,31
39,34,0,7,18,15
26,23,13,3,37,36
13,18,3,0,27,46
7,18,0,7,32,26
39,34,3,3,27,10
33,31,0,3,41,46
26,29,0,0,37,26
33,18,6,3,18,26
20,18,0,7,14,21
0,26,0,7,32,21
13,23,6,10,37,31
33,16,6,7,18,36
26,21,6,3,37,26
46,16,6,13,23,31
20,23,6,3,9,10
33,21,3,10,9,36
20,39,6,17,23,15
26,21,3,3,41,26
13,34,0,7,18,10
20,18,6,3,27,15
26,34,3,7,32,41
20,10,0,0,18,15
33,10,0,0,9,10
7,29,6,10,23,51
20,34,0,3,37,62
33,23,3,7,9,31
33,36,3,10,23,26
26,29,6,3,41,26
13,13,9,3,37,21
33,31,3,7,23,15
20,18,0,7,27,31
33,36,3,7,23,21
13,34,6,7,14,26
13,13,3,3,23,36
26,34,0,7,32,10
20,18,6,7,32,26
20,18,3,7,9,15
20,18,6,10,18,5
33,18,9,7,27,10
33,18,0,7,18,51
33,16,3,10,27,21
7,16,6,17,23,26
20,26,3,7,18,31
7,16,6,0,18,5
20,26,3,13,27,31
26,29,0,7,18,5
7,23,0,0,23,15
20,21,0,0,23,21
7,10,3,10,5,26
33,29,0,13,14,41
13,26,3,0,23,41
13,18,0,17,14,21
13,13,6,10,9,31
26,23,0,10,9,15
26,8,3,13,32,21
13,31,3,3,14,21
13,21,3,7,23,36
13,21,0,3,23,31
13,23,0,3,37,26
7,31,6,10,23,10
20,18,6,0,9,15
33,21,0,7,32,21
20,26,0,3,18,36
33,21,3,3,18,15
7,21,9,0,23,26
39,16,3,3,5,15
13,5,3,3,23,15
26,23,0,10,32,15
0,16,0,13,14,36
20,23,0,3,5,21
20,18,0,0,37,26
7,36,0,0,18,46
20,36,0,10,9,21
13,23,3,0,5,36
13,8,3,0,32,15
20,13,3,7,23,36
33,13,3,10,18,15
0,16,13,3,14,46
13,16,0,3,23,26
20,18,0,0,46,15
13,29,0,3,55,15
7,13,3,3,27,10
13,13,0,7,9,36
13,23,0,7,5,5
26,26,3,10,9,15
7,3,6,3,14,21
20,18,3,3,14,21
13,18,0,3,9,31
7,26,0,3,14,21
7,23,0,3,14,26
33,18,0,0,0,36
0,5,0,0,14,31
26,18,3,0,27,21
7,16,9,0,23,10
26,16,0,13,23,36
20,10,3,3,18,10
7,29,0,10,18,10
20,13,0,7,9,15
0,13,0,7,32,21
0,13,0,7,23,21
26,36,3,3,18,15
13,18,9,0,18,36
13,18,6,3,23,26
20,21,3,7,5,10
33,10,0,3,32,21
20,10,6,0,5,15
13,31,0,3,32,5
33,10,0,0,5,21
20,16,0,0,14,5
7,16,3,3,9,15
26,21,3,3,14,15
7,18,0,7,9,26
0,3,3,13,18,41
20,5,0,3,9,21
13,16,6,3,18,15
13,23,0,0,14,10
7,29,0,3,23,15
0,10,3,10,23,21
13,31,3,0,9,15
20,10,3,0,18,15
20,18,0,3,18,26
7,13,0,0,9,15
7,21,0,3,23,21
7,8,3,3,9,26
20,5,3,3,27,10
13,13,0,7,9,26
7,13,0,3,14,10
26,3,0,3,0,0
26,16,3,3,14,15
7,16,3,7,9,10
20,18,6,3,0,10
0,13,6,7,23,10
39,16,3,0,14,15
13,18,3,7,5,15
0,31,0,0,18,15
0,10,0,10,14,21
26,26,3,13,14,10
13,13,0,7,9,15
13,5,0,0,27,10
13,21,3,0,14,15
26,21,6,3,14,26
20,16,0,7,23,36
20,21,0,0,18,15
13,10,0,0,14,10
7,16,3,0,0,10
0,21,3,7,9,10
26,16,0,3,5,5
13,10,0,0,9,41
39,13,0,0,18,10
13,13,6,3,5,5
13,13,0,3,23,21
20,8,0,3,23,15
20,16,0,0,18,26
0,16,0,3,9,10
13,21,6,7,14,10
7,13,3,3,32,26
0,13,0,7,9,26
13,16,0,3,18,15
7,0,0,7,5,10
7,5,0,3,5,21
13,10,3,0,9,5
13,21,0,3,5,10
0,21,0,0,9,0
7,8,0,0,14,0
13,23,0,0,14,21
7,5,0,3,5,26
26,29,0,0,9,15
13,16,3,7,9,15
7,13,0,10,18,15
7,13,0,7,23,15
20,16,3,3,9,15
7,18,3,3,9,21
13,10,0,7,32,15
13,16,0,0,5,10
0,5,0,0,5,10
0,5,3,7,5,15
13,5,3,0,14,31
20,8,0,3,5,15
20,21,0,10,14,21
20,8,3,0,5,5
0,13,6,7,5,21
13,8,0,3,5,26
7,0,0,0,5,10
7,13,0,3,0,5
26,13,0,7,5,10
13,8,3,3,9,15
7,5,6,0,18,10
7,21,0,3,18,10
0,18,0,3,14,5
7,5,0,3,5,5
0,10,6,3,0,21
46,3,0,0,9,5
13,16,0,0,9,15
7,16,0,0,9,10
13,3,3,3,9,5
7,23,3,0,14,15
7,13,3,3,0,15
7,18,3,0,9,5
13,3,3,3,9,21
13,5,0,0,14,5
13,16,0,0,5,0
13,13,3,10,18,5
7,5,0,3,18,0
7,10,3,3,14,0
0,8,0,0,0,10
20,18,0,0,14,21
20,16,3,3,5,15
7,8,3,0,0,5
13,8,0,0,14,15
20,10,0,0,9,5
7,8,0,0,14,15
7,13,0,0,5,26
20,3,3,7,5,10
7,21,0,3,14,10
0,10,0,7,14,15
7,13,0,3,9,26
13,3,3,7,18,0
7,3,0,0,5,26
26,8,0,0,0,0
0,5,0,0,27,21
0,13,0,0,14,5
7,16,0,0,0,10
7,5,3,7,5,5
0,13,0,0,0,5
7,10,0,0,9,10
7,3,0,3,9,5
13,13,0,3,5,5
20,5,0,3,9,21
7,13,6,0,0,10
7,13,9,3,9,10
13,10,0,0,14,5
7,13,0,0,9,5
0,10,0,3,9,15
0,8,0,0,9,5
20,8,0,3,9,15
7,13,0,0,18,26
13,0,6,0,18,10
0,3,9,0,5,0
7,13,0,0,5,15
0,8,3,0,5,5
20,0,3,0,5,36
7,3,0,0,5,5
13,8,3,3,9,5
0,13,6,3,0,5
7,23,0,3,5,26
7,0,0,3,5,15
0,8,0,0,9,10
7,8,3,7,9,0
13,10,0,0,9,0
0,3,3,0,5,10
13,5,0,7,9,0
0,0,0,3,0,5
7,10,0,0,5,10
0,10,0,0,5,0
20,8,0,0,9,15
0,8,0,0,9,10
7,5,0,7,14,0
7,5,3,3,9,10
0,16,3,0,0,5
26,5,0,0,0,15
0,3,0,0,0,0
13,13,0,0,5,5
13,3,0,3,5,10
7,10,0,0,9,10
0,5,3,0,14,5
20,8,0,3,5,10
0,3,0,3,14,10
20,18,0,7,0,15
7,13,3,3,14,0
0,16,0,0,0,10
20,8,3,3,5,0
7,10,3,3,0,5
0,3,0,0,5,26
13,5,0,0,9,0
0,5,0,3,14,15
7,13,0,7,0,5
0,13,0,0,5,10
0,0,0,0,5,15
0,10,0,3,14,21
7,3,0,0,14,5
7,8,0,0,0,21
7,3,3,0,5,5
7,3,0,0,0,5
7,10,3,0,5,10
7,3,3,0,18,5
0,0,0,3,9,0
0,5,9,0,0,5
7,21,3,0,5,10
0,8,0,0,5,15
0,13,0,0,5,10
0,10,3,0,0,15
20,8,0,0,0,5
7,5,3,0,5,5
7,5,0,0,0,10
